Name,RA (1950),Dec m_Zw,V_h,sig sour,Ty,D1,D2,BT   UGC,CfARFN,Comments
16270+2549,162659.1,25492015.3,12677,3012700,-7,1.1,0.8,10410,T11400,
16270+4115,162701.6,41144515.5,9086,2212779,,,,,T05394,"A2197, 9800 (1140)"
16270+3935,162703.1,39341815.4,7819,2111539,,,,,T14781,A2199-RS96
16271+3957,162707.6,39563715.5,10798,7113300,,,,,,A2199-RS102
16272+0834,162713.7,8333315,9885,2912779,,,,,T18575,
16272+6247,162715,62475215.3,9700,3011822,2A,1.4,0.35,10411,,KDG498B
16272+0625,162716,6250215.5,15756,5612779,,,,,T26376,
16273+2127,162717.4,21264015.2,2986,112218,5A,2.5,0.7,10413 44.7,,PGC58336
16273+1546,162719.5,15460115,10183,3112700,-2,1,0.5,10412,T24217,
16274+4124,162720.8,41233314.8,9546,3412731,3X,1,0.8,10415,T07202,9203 (1140)
16274+0845,162722.8,8450815.4,9925,3412700,0B,1,0.8,10414,T18577,
16274+2940,162727.9,29385715.5,15855,2912736,1X R,,,,T09528,
16275+4850,162734,48504515.5,10194,3312700,,,,,T14868,
